Telco Domain Risk Summary — Per-Domain Risk Score Calculation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Each carrier rolled up from its subdomain-level V5 scores. MAX pillars = worst subdomain per pillar (operational view). Final Risk Score (Max) = max of subdomain composites; Final Risk Score (Avg) = mean across all subdomains.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rank;Domain;Subdomains;KEV Hosts;EPSS Hosts;Any-CVE Hosts;Weak DMARC Hosts;Weak SPF Hosts;Dangling CNAME Hosts;Int IP Exposed Hosts;SSH Hosts;FTP Hosts;MySQL Hosts;Postgres Hosts;RDP Hosts;SNMP Hosts;XSS Hosts;SSRF Hosts;SQLi Hosts;P1 CVE (Max);P2 Email (Max);P3 Infra (Max);P4 Web (Max);P5 Surface (Max);P1 CVE (Avg);P2 Email (Avg);P3 Infra (Avg);P4 Web (Avg);P5 Surface (Avg);Max Penalty;Final Risk Score (Max);Max Band;Final Risk Score (Avg);Avg Band;Worst Subdomain;FRN;holding_company;Registered Name;Company Name;city;state;Domain;# Employees;Private or Public;Aquired or Not;Annual Revenue;Founded Year;WISP or Cable;Principal_Communications_Type;Chief_Executive_Officer
1;ngstek.com;2;1;1;1;1;1;1;0;2;2;2;0;0;0;1;0;1;95;90;100;100;77,3;47,5;45;100;50;71,7;10,0;100,0;Critical;95,0;Critical;ngstek.com;31642986;;Nextgen Solutions;Nextgen Solutions;Marion;IL;ngstek.com;51-200;Private;Acquired by Thoma Bravo and Madison Dearborn Partners;$10-50 million;2011;WISP;Local Reseller;Sean Beck
2;csitele.com;3;1;1;1;1;1;1;0;1;3;0;0;0;0;0;1;0;100;90;80;50;73,6;33,3;30;43,3;26,7;68,5;10,0;100,0;Critical;64,1;High;csitele.com;22456487;;CSI Telecommunications, Inc.;CSI Telecommunications;CHESTERFIELD;MO;csitele.com;Nov-50;Private;I do not have enough information to determine if CSI Telecommunications in Chesterfield, MO has been acquired. The provided search results refer to several other companies using the name or acronym CSI, including Computer Services, Inc. (Kentucky), a print and graphics firm (Washington, D.C.), Communications Specialists, Inc. (New York), Cellular Specialties, Inc. (Illinois), and a technology partner in the UK, but none match the specific entity and location in your spreadsheet.;$1-5 million;1976;WISP;Interconnected VoIP;Richard Beck
3;decisiontele.com;6;1;1;1;1;1;0;0;0;0;0;0;0;0;1;5;0;100;90;0;80;66;16,7;15;0;46,7;40,3;10,0;100,0;Critical;45,1;Medium;decisiontele.com;33199233;;DecisionTelecom;DecisionTelecom;WILMINGTON;DE;decisiontele.com;100+;Private;I do not have enough information to determine if DecisionTelecom has been acquired. The provided text mentions it was founded in 2012 and is headquartered in Estonia, but it does not contain details regarding any acquisition of the company.;$1-5 million;2012;NA;Interconnected VoIP;Sergii Diachenko
4;autobizline.com;4;1;1;1;1;1;2;0;2;0;0;0;0;0;1;1;0;87,4;90;55;100;66;21,9;22,5;27,5;32,5;40,7;10,0;100,0;Critical;50,6;High;autobizline.com;;;AutoBizLine, Inc.;AutoBizLine;San Diego;CA;autobizline.com;2 to 3;Private;Not acquired;$1 - $1,000,000;2020;NA;Interconnected VoIP;Rishan Chen
5;columbus-telephone.com;2;1;1;1;0;1;0;0;2;2;2;0;0;0;0;1;1;96,8;40;100;100;73,6;48,4;20;100;50;69,8;5,0;98,8;Critical;94,4;Critical;columbus-telephone.com;3734167;;Columbus Telephone Company;Columbus Telephone Company;Columbus;KS;columbus-telephone.com;Nov-50;Private;Not acquired;$1 million - $10 million;1905;NA;Incumbent Local Exchange Carrier;Dave Soper
6;i-av.com;3;2;2;2;0;1;1;0;2;2;2;0;0;0;0;1;1;100;40;100;100;73,6;64,6;13,3;66,7;43,3;55,7;5,0;98,4;Critical;94,5;Critical;i-av.com;33868894;Infinite Audio Video Solutions LLC;Infinite AV Solutions;Infinite AV Solutions;Little Silver;NJ;i-av.com;01-Oct;Private;Not acquired;$1-5 million;2016;WISP;Interconnected VoIP;Daniel Tapolow
7;telcomsavvy.com;4;2;2;2;1;1;0;0;1;0;0;0;0;0;1;2;0;98,4;90;55;80;44,8;47,5;22,5;13,8;32,5;33,6;10,0;98,4;Critical;59,5;High;login.telcomsavvy.com;26946228;;Telcom Savvy, LLC;Telcom Savvy;Nesconset;NY;telcomsavvy.com;01-Oct;Private;"I do not have enough information to answer the query. The provided search results mention ""Savvy Games Group,"" ""TekSavvy Solutions Inc.,"" ""Savvy Tel,"" and ""Savvy"" (a healthcare company), but do not contain information regarding the acquisition status of Telcom Savvy, LLC.";$1-10 million;2017;NA;Interconnected VoIP;Robert Shatles
8;comexcell.com;8;3;1;3;0;1;0;0;2;2;2;0;0;0;3;0;4;96,6;40;100;90;73,6;32,8;5;25;41,2;50,8;5,0;97,9;Critical;56,2;High;comexcell.com;34968263;;COMEXCEL TECHNOLOGIES CORPORATION;COMEXCEL;FT LAUDERDALE;FL;comexcell.com;Nov-50;Private;Not acquired;$1M - $5M;1996;NA;Interconnected VoIP;GEORGE KINGSBERG
9;bridgewireless.com;10;0;1;1;1;1;0;0;10;0;0;0;0;0;0;1;1;72,2;90;55;100;72,3;7,2;9;55;10;63,1;5,0;96,2;Critical;49,4;Medium;bridgewireless.com;34326314;;Bridge Wireless;Bridge Wireless;Los Angeles;CA;bridgewireless.com;51 to 100;Private;Not Acquired;$1 million - $5 million;;WISP;Local Reseller;Nader Sepehr
10;energize.net;12;1;1;1;1;0;0;0;1;1;1;0;0;0;0;3;3;100;50;100;100;69,3;8,3;4,2;8,3;26,2;14,9;5,0;95,8;Critical;28,9;Medium;new.energize.net;;;;;;;;;;;;;;;
